item_id,dialogue,turn_id,final_turn,label,sava_rerun,stage_rerun,numeric_regex,llm_judge_binary,llm_judge_three_way,pattern
HV001,311,8,True,0,incorrect,cas_not_equivalent,incorrect,correct,correct,SAVA=hit | JUDGE=miss
HV045,488,5,True,1,incorrect,cas_not_equivalent,incorrect,correct,correct,SAVA=miss | JUDGE=hit
HV046,280,4,False,0,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=hit | JUDGE=hit
HV047,501,5,False,0,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=hit | JUDGE=hit
HV048,158,3,False,0,incorrect,cas_not_equivalent,incorrect,correct,incorrect,SAVA=hit | JUDGE=miss
HV049,249,4,False,0,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=hit | JUDGE=hit
HV050,132,4,False,0,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=hit | JUDGE=hit
HV051,559,2,False,1,undetermined,prose_guard,incorrect,incorrect,incorrect,SAVA=abstain | JUDGE=miss
HV052,314,10,True,1,undetermined,prose_guard,correct,correct,correct,SAVA=abstain | JUDGE=hit
HV053,594,6,True,1,correct,cas_equivalent,correct,correct,correct,SAVA=hit | JUDGE=hit
HV054,298,3,False,1,undetermined,prose_guard,incorrect,incorrect,incorrect,SAVA=abstain | JUDGE=miss
HV055,223,8,True,1,correct,cas_equivalent,correct,correct,correct,SAVA=hit | JUDGE=hit
HV056,247,4,False,0,incorrect,conclusion_cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=hit | JUDGE=hit
HV057,312,2,False,0,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=hit | JUDGE=hit
HV058,81,4,False,1,correct,cas_equivalent,correct,correct,correct,SAVA=hit | JUDGE=hit
HV059,293,3,False,0,incorrect,cas_not_equivalent,incorrect,correct,incorrect,SAVA=hit | JUDGE=miss
HV060,316,2,False,0,incorrect,conclusion_cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=hit | JUDGE=hit
HV061,440,4,False,1,undetermined,prose_guard,incorrect,correct,correct,SAVA=abstain | JUDGE=hit
HV062,440,7,False,1,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=miss | JUDGE=miss
HV063,318,5,False,0,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=hit | JUDGE=hit
HV064,117,3,False,1,undetermined,prose_guard,incorrect,correct,correct,SAVA=abstain | JUDGE=hit
HV065,446,8,False,0,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=hit | JUDGE=hit
HV066,356,10,True,0,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=hit | JUDGE=hit
HV067,333,6,False,0,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=hit | JUDGE=hit
HV068,202,6,False,1,undetermined,prose_guard,incorrect,incorrect,incorrect,SAVA=abstain | JUDGE=miss
HV069,26,4,False,1,undetermined,prose_guard,incorrect,incorrect,incorrect,SAVA=abstain | JUDGE=miss
HV070,351,5,False,0,undetermined,prose_guard,incorrect,correct,incorrect,SAVA=abstain | JUDGE=miss
HV071,84,5,False,1,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=miss | JUDGE=miss
HV072,453,3,False,0,undetermined,prose_guard,correct,incorrect,incorrect,SAVA=abstain | JUDGE=hit
HV073,166,3,False,0,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=hit | JUDGE=hit
HV074,458,4,False,0,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=hit | JUDGE=hit
HV075,512,3,False,1,undetermined,prose_guard,incorrect,correct,correct,SAVA=abstain | JUDGE=hit
HV076,31,4,False,0,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=hit | JUDGE=hit
HV077,236,6,False,0,incorrect,cas_not_equivalent,incorrect,correct,correct,SAVA=hit | JUDGE=miss
HV078,327,4,False,1,incorrect,cas_not_equivalent,incorrect,correct,incorrect,SAVA=miss | JUDGE=hit
HV079,54,5,False,1,incorrect,cas_not_equivalent,incorrect,correct,correct,SAVA=miss | JUDGE=hit
HV080,412,4,False,1,incorrect,conclusion_cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=miss | JUDGE=miss
HV081,425,5,False,1,incorrect,cas_not_equivalent,incorrect,correct,correct,SAVA=miss | JUDGE=hit
HV082,419,3,False,1,undetermined,prose_guard,incorrect,incorrect,incorrect,SAVA=abstain | JUDGE=miss
HV083,334,9,False,0,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=hit | JUDGE=hit
HV084,371,8,True,1,correct,cas_equivalent,correct,correct,correct,SAVA=hit | JUDGE=hit
HV085,205,3,False,1,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=miss | JUDGE=miss
HV086,117,11,False,0,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=hit | JUDGE=hit
HV087,395,4,False,0,undetermined,prose_guard,incorrect,incorrect,incorrect,SAVA=abstain | JUDGE=hit
HV088,338,3,False,1,undetermined,prose_guard,incorrect,incorrect,incorrect,SAVA=abstain | JUDGE=miss
HV089,441,4,False,0,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=hit | JUDGE=hit
HV090,375,2,True,1,correct,cas_equivalent,correct,correct,correct,SAVA=hit | JUDGE=hit
HV091,320,4,False,1,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=miss | JUDGE=miss
HV092,379,7,False,0,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=hit | JUDGE=hit
HV093,289,12,False,0,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=hit | JUDGE=hit
HV094,35,5,False,1,incorrect,cas_not_equivalent,incorrect,correct,correct,SAVA=miss | JUDGE=hit
HV095,222,9,False,0,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=hit | JUDGE=hit
HV096,32,2,False,0,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=hit | JUDGE=hit
HV097,270,9,True,0,correct,conclusion_cas_equivalent,correct,correct,correct,SAVA=miss | JUDGE=miss
HV098,120,3,False,1,incorrect,conclusion_cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=miss | JUDGE=miss
HV099,454,5,True,1,incorrect,cas_not_equivalent,incorrect,correct,correct,SAVA=miss | JUDGE=hit
HV100,326,2,False,1,undetermined,prose_guard,undetermined,incorrect,incorrect,SAVA=abstain | JUDGE=miss
HV101,336,8,False,0,incorrect,cas_not_equivalent,incorrect,correct,correct,SAVA=hit | JUDGE=miss
HV102,16,4,False,1,incorrect,conclusion_cas_not_equivalent,incorrect,correct,incorrect,SAVA=miss | JUDGE=hit
HV103,471,4,False,0,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=hit | JUDGE=hit
HV104,115,4,True,1,undetermined,prose_guard,correct,correct,correct,SAVA=abstain | JUDGE=hit
HV105,330,9,True,0,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=hit | JUDGE=hit
HV106,487,6,False,0,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=hit | JUDGE=hit
HV107,200,2,False,1,undetermined,prose_guard,undetermined,incorrect,incorrect,SAVA=abstain | JUDGE=miss
HV108,56,4,True,1,correct,conclusion_cas_equivalent,correct,correct,correct,SAVA=hit | JUDGE=hit
HV109,209,6,False,0,incorrect,cas_not_equivalent,incorrect,correct,incorrect,SAVA=hit | JUDGE=miss
HV110,357,6,True,1,correct,cas_equivalent,correct,correct,correct,SAVA=hit | JUDGE=hit
HV111,184,5,True,1,undetermined,prose_guard,correct,correct,correct,SAVA=abstain | JUDGE=hit
HV112,235,4,False,1,incorrect,cas_not_equivalent,incorrect,correct,correct,SAVA=miss | JUDGE=hit
HV113,401,3,False,0,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=hit | JUDGE=hit
HV114,495,6,False,1,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=miss | JUDGE=miss
HV115,94,4,False,0,incorrect,cas_not_equivalent,incorrect,correct,incorrect,SAVA=hit | JUDGE=miss
HV116,123,9,False,0,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=hit | JUDGE=hit
HV117,473,5,False,1,undetermined,prose_guard,incorrect,correct,correct,SAVA=abstain | JUDGE=hit
HV118,299,2,False,1,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=miss | JUDGE=miss
HV119,288,8,False,0,undetermined,prose_guard,incorrect,correct,incorrect,SAVA=abstain | JUDGE=miss
HV120,256,5,False,0,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=hit | JUDGE=hit
HV121,313,10,True,1,correct,cas_equivalent,correct,correct,correct,SAVA=hit | JUDGE=hit
HV122,452,4,False,0,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=hit | JUDGE=hit
HV123,289,2,False,0,undetermined,prose_guard,undetermined,incorrect,incorrect,SAVA=abstain | JUDGE=hit
HV124,231,3,False,1,undetermined,prose_guard,incorrect,correct,incorrect,SAVA=abstain | JUDGE=hit
HV125,59,3,True,1,correct,cas_equivalent,correct,correct,correct,SAVA=hit | JUDGE=hit
HV126,256,6,False,0,undetermined,prose_guard,incorrect,incorrect,incorrect,SAVA=abstain | JUDGE=hit
HV127,164,4,True,1,correct,cas_equivalent,correct,correct,correct,SAVA=hit | JUDGE=hit
HV128,98,3,False,0,undetermined,prose_guard,incorrect,correct,incorrect,SAVA=abstain | JUDGE=miss
HV129,323,3,True,1,undetermined,prose_guard,incorrect,incorrect,incorrect,SAVA=abstain | JUDGE=miss
HV130,98,5,True,1,incorrect,conclusion_cas_not_equivalent,incorrect,correct,incorrect,SAVA=miss | JUDGE=hit
HV131,477,4,True,0,incorrect,cas_not_equivalent,incorrect,correct,correct,SAVA=hit | JUDGE=miss
HV132,158,8,False,1,incorrect,cas_not_equivalent,incorrect,correct,correct,SAVA=miss | JUDGE=hit
HV133,334,5,False,0,incorrect,cas_not_equivalent,incorrect,correct,correct,SAVA=hit | JUDGE=miss
HV134,237,3,False,0,incorrect,cas_not_equivalent,incorrect,incorrect,incorrect,SAVA=hit | JUDGE=hit
HV135,236,3,False,0,incorrect,cas_not_equivalent,incorrect,correct,correct,SAVA=hit | JUDGE=miss
HV136,360,5,True,1,undetermined,prose_guard,correct,correct,correct,SAVA=abstain | JUDGE=hit
HV137,141,9,False,1,incorrect,cas_not_equivalent,incorrect,correct,correct,SAVA=miss | JUDGE=hit
HV138,112,5,False,1,incorrect,cas_not_equivalent,incorrect,correct,correct,SAVA=miss | JUDGE=hit
HV139,438,10,True,1,correct,cas_equivalent,correct,correct,correct,SAVA=hit | JUDGE=hit
